lagoslakei,area,perimeter,bbox_lw_rat,dist_pole,SDI
"5855",708377.660156250000000,7328.628774058221097,1.564,111.548412479838,2.456
"128422",554517.051239013671875,5728.374183710382567,1.066,109.854099221084,2.170
"5858",825559.967285156250000,8957.944411018917890,1.682,113.218887304788,2.781
"63005",339112.937744140625000,3493.795383439432044,1.088,99.3464289505972,1.692
"5857",1116940.257324218750000,11659.369742784576374,2.731,124.784080902809,3.112
"5852",435533.023925781250000,4539.688816953852438,1.054,114.238322696374,1.940
"5851",449139.966308593750000,4654.792007941782686,1.289,108.837388757283,1.959
"128418",246418.702514648437500,3299.900392209427537,1.061,99.3706448192283,1.875
"5854",433308.669433593750000,4451.255571094940024,1.066,110.410428798233,1.908
"5853",1030150.615722656250000,10692.105583666507300,2.266,120.539462676459,2.972
"5848",512292.369140625000000,5311.760332107226532,1.205,117.618566064988,2.094
"5847",1339046.803222656250000,13855.396943123416349,1.795,111.025808236801,3.378
"5850",401884.122558593750000,4241.537639770611349,1.190,108.864190457253,1.887
"5849",1309264.081054687500000,13287.816074130005290,1.601,145.018298870298,3.276
"5940",2354740.662109375000000,24363.157459880065289,2.426,133.964759630445,4.479
"79441",1856093.343017578125000,19141.980417161496007,1.032,157.612522861674,3.964
"5939",1579290.376464843750000,16545.663055526965763,1.871,128.203428557961,3.714
"87741",784888.373168945312500,8064.547513936652649,1.440,105.082253227335,2.568
"5942",431778.255371093750000,4629.859207340088687,1.264,110.574771653951,1.988
"5941",490013.632324218750000,5215.530889578805727,1.002,109.929115200133,2.102
"5936",333761.131347656250000,3474.216873488734109,1.177,107.542757987539,1.696
"120325",1086879.699707031250000,11661.295368404054898,1.518,132.843663330986,3.155
"5935",440652.328613281250000,4612.159397736316350,1.410,108.035218892479,1.960
"5938",2254472.500976562500000,24143.354352101108816,2.055,127.4688286089,4.536
"120319",411302.089355468750000,4247.015868967910137,1.232,109.290590533232,1.868
"5937",450562.222656250000000,4609.501926409131556,1.248,105.063609690675,1.937
"5932",404043.052246093750000,4152.892240948523067,1.666,105.383904479118,1.843
"5931",1288153.020507812500000,13137.593943848538402,1.886,114.973297595108,3.265
"30526",1051766.351547241210938,11194.801694046251214,2.174,116.524320621834,3.079
"5934",731104.467285156250000,7602.833285774295291,1.052,112.742756116107,2.508
"5933",398492.697265625000000,4125.938818479106885,1.506,109.19095804526,1.844
"5928",592301.694824218750000,6367.929509849939677,1.230,124.595259421086,2.334
"79461",676068.285949707031250,7336.371864269664002,1.445,139.676351895737,2.517
"5927",666011.730957031250000,7104.572917237216643,1.639,120.236215527799,2.456
"5930",1485287.685546875000000,15789.615052124150679,2.660,112.777316958923,3.655
"5929",386034.721679687500000,4047.466962920986134,1.407,113.521519430269,1.838
"30484",1319223.265594482421875,14030.376183471866170,2.294,129.946317037121,3.446
"5956",478347.270996093750000,5054.910462543802169,1.104,120.485514825188,2.062
"79457",5376582.281875610351563,59734.345358713268070,1.166,157.160170425785,7.267
"5955",633861.699707031250000,6513.364132586162668,1.133,114.073367176971,2.308
"38513",568154.295227050781250,6633.523123991764805,1.026,104.038414538096,2.483
"5957",918507.531738281250000,9362.340449634888500,1.758,107.804522878627,2.756
"5952",1091599.140625000000000,11154.405794781330769,2.042,120.709434243361,3.012
"5951",412897.492675781250000,4275.785618980893560,1.162,102.732651687161,1.877
"5953",341112.507812500000000,3537.780612588341683,1.222,99.9554325507425,1.709
"5948",398101.542480468750000,4075.781787257241376,1.103,104.484303535316,1.822
"5947",637752.692382812500000,7078.297906107050949,1.171,113.115141125268,2.500
"5950",679824.768554687500000,6984.388982607511934,1.450,118.566046065383,2.390
"5949",1240899.584960937500000,12876.854201200971147,1.087,119.63195732729,3.261
